id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q280751,Lord of Mann,Q9676,,,,,,,,Lord of Mann
Q1072343,Chief Minister of the Isle of Man,,Q9676,,,1986-12,,,,Chief Minister of the Isle of Man
Q1790061,Lieutenant Governor of the Isle of Man,Q145,Q9676,,,1773,,,,Lieutenant Governor of the Isle of Man
Q108933953,Minister for Cabinet Office,Q145,Q9676,,,,,,,
Q25712498,Minister for Economic Development,,Q9676,,,,,,,
Q107833024,"Minister for Education, Sport and Culture",Q145,Q9676,,,,,,,
Q107832628,Minister for Enterprise,Q145,Q9676,,,,,,,
Q107832352,"Minister for Environment, Food and Agriculture",Q145,Q9676,,,,,,,
Q107832358,Minister for Health and Social Care,Q145,Q9676,,,,,,,
Q25712496,Minister for Home Affairs,,Q9676,,,,,,,
Q107832859,Minister for Infrastructure,Q145,Q9676,,,,,,,
Q107832447,Minister for Justice and Home Affairs,Q145,Q9676,,,,,,,
Q110157969,Minister of Local Government and the Environment,,Q9676,,,,,,,
Q107832452,Minister for Policy and Reform,Q145,Q9676,,,,,,,
Q25712497,Minister for the Treasury,,Q9676,,,,,,,
Q2734556,President of Tynwald,,,,,,,,,President of Tynwald
Q3253353,Speaker of the House of Keys,,Q1516957,,,,,,,Speaker of the House of Keys
