wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q106808901,Julie Edge,Julie Edge,female,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,2021-10-19,Q107833024,"Minister for Education, Sport and Culture",2021-10-12,Q106808901-3102A5BA-0208-4731-87BE-764ECCC7128C
Q106808905,Lawrie Hooper,Lawrie Hooper,male,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,2021-10-19,Q107832358,Minister for Health and Social Care,2021-10-12,Q106808905-3F99E234-DDB9-4313-B548-E8ED6845C832
Q107833017,Alex Allinson,Alexander J Allinson,male,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,2022-05-29,Q25712497,Minister for the Treasury,2022-05-20,Q107833017-ad9bd2e6-4fd0-4977-4181-0565f4d4a3bd
Q108933969,Clare Barber,Clare Barber,female,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,2021-10-19,Q107832352,"Minister for Environment, Food and Agriculture",2021-10-12,Q108933969-62E7932E-34BA-4477-8AB2-7D75F45BE30B
Q112577965,Chris Thomas,Chris Thomas,male,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,2022-06-15,Q107832859,Minister for Infrastructure,2022-06-14,Q112577965-CF432713-C8F8-4413-8527-6F4FBDDC8BC3
Q25752002,Alfred Cannan,Alfred Cannan,male,,,,,Q107832628,Minister for Enterprise,2022-07-19,Q25752002-718d8eb0-46c2-59bb-0d34-a9291b72e5e5
Q25752002,Alfred Cannan,Alfred Cannan,male,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,2021-10-19,Q1072343,Chief Minister,2021-10-12,Q25752002-dd50a902-4c1e-c5d1-a0d1-b803aeb28f66
Q43549347,Jane Poole-Wilson,Jane Poole-Wilson,female,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,2021-10-19,Q107832447,Minister for Justice and Home Affairs,2021-10-12,Q43549347-70E237A2-62DE-4B11-9739-111574671EA9
Q50676528,Kate Lord-Brennan,Kate Lord-Brennan,female,,,https://www.gov.im/about-the-government/council-of-ministers/the-council-of-ministers/ministers/,2021-10-19,Q108933953,Minister for Cabinet Office,2021-10-12,Q50676528-EAA3F99D-64C5-4418-907B-F333E6857CC9
