name,position
Alfred Cannan,Chief Minister
Kate Lord-Brennan,Minister for Cabinet Office
Julie Edge,"Minister for Education, Sport and Culture"
Alfred Cannan,Minister for Enterprise
Clare Barber,"Minister for Environment, Food and Agriculture"
Lawrie Hooper,Minister for Health and Social Care
Jane Poole-Wilson,Minister for Justice and Home Affairs
Chris Thomas,Minister for Infrastructure
Alex Allinson,Minister for the Treasury
